CATEGORY,PRODUCTID,ITEM,IMGSRC,DESCRIPTION,MRP,DISCOUNTEDPRICE
MT,1000,"Round Neck T-Shirt, Green",MT/mt1.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1099,659
MT,1001,"Round Neck T-Shirt, Grey",MT/mt2.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,559
MT,1002,"Round Neck T-Shirt, Blue",MT/mt3.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",865,778
MT,1003,"Striped Round Neck T-Shirt, Grey",MT/mt4.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",949,664
MT,1004,"Striped Round Neck T-Shirt, Blue",MT/mt5.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",3599,1979
MT,1005,"Round Neck T-Shirt, Black and White",MT/mt6.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",549,439
MT,1006,"Round Neck T-Shirt, Black and Grey",MT/mt7.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1299,649
MT,1007,"Round Neck T-Shirt, Tricolour",MT/mt8.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,384
MT,1008,"Fullsleeve T-Shirt, Blue",MT/mt9.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",599,359
MT,1009,Iron Man T-Shirt,MT/mt10.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",649,519
MT,1010,"Round Neck T-Shirt, Maroon",MT/mt11.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",949,664
MT,1011,"Polo Neck T-Shirt, Blue",MT/mt12.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",999,1399
MT,1012,"Round Neck T-Shirt, Blue and White",MT/mt13.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1695,1186
MT,1013,"Pocket T-Shirt, Grey",MT/mt14.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1299,649
MT,1014,"Polo Neck T-Shirt, Black",MT/mt15.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1299,909
MT,1015,"Ferrari T-Shirt, White",MT/mt16.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1099,659
MT,1016,"Ferrari T-Shirt, Yellow",MT/mt17.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",7499,449
MT,1017,"Fullsleeve T-Shirt, Gradient Blue",MT/mt18.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",599,179
MT,1018,"Fullsleeve T-Shirt, Pattern",MT/mt19.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1399,979
MT,1019,"Polo Neck T-Shirt, Grey Striped",MT/mt20.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1499,749
MT,1020,"Round Neck T-Shirt, Black and Yellow",MT/mt21.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1099,659
MT,1021,"Polo Neck T-Shirt, Maroon",MT/mt22.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,489
MT,1022,"Henley T-Shirt, Black",MT/mt23.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",999,549
MT,1023,"Henley T-Shirt, White",MT/mt24.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",599,359
MT,1024,"Caption Sweatshirt, Be it!",MT/mt25.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",549,329
MT,1025,"Round Neck T-Shirt, Blue Striped",MT/mt26.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1299,779
MT,1026,"Polo Neck T-Shirt, Double Colour",MT/mt27.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",5490,3568
MT,1027,"Polo Neck T-Shirt, Light Green",MT/mt28.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",1430,1001
MT,1028,"Polo Neck T-Shirt, Light Blue",MT/mt29.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,384
MT,1029,"Pocket T-Shirt, Dark Grey",MT/mt30.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,279
MT,1030,"Polo Neck T-Shirt, Olive Green",MT/mt31.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",599,299
MT,1031,"Pocket T-Shirt, White",MT/mt32.jpg,"Green melange T-shirt, has a round neck, short sleeves, a patch pocket. 60% cotton, 40% polyester.",699,384
MS,1032,"Fullsleeve Shirt, White",MS/ms1.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1099,659
MS,1033,"Fullsleeve Shirt, Shiny Blue",MS/ms2.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,559
MS,1034,"Fullsleeve Shirt, Off White",MS/ms3.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",865,778
MS,1035,"Fullsleeve Shirt, Maroon",MS/ms4.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",949,664
MS,1036,"Fullsleeve Shirt, Light Blue",MS/ms5.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",3599,1979
MS,1037,"Fullsleeve Shirt, Grey",MS/ms6.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",549,439
MS,1038,"Fullsleeve Shirt, Black",MS/ms7.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1299,649
MS,1039,"Fullsleeve Shirt, Dark Blue",MS/ms8.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",699,384
MS,1040,"Fullsleeve Shirt, Jet Black",MS/ms9.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",599,359
MS,1041,"Fullsleeve Shirt, Light Pink",MS/ms10.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",649,519
MS,1042,"Fullsleeve Shirt, Burgundy",MS/ms11.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",949,664
MS,1043,"Fullsleeve Shirt, Dark Grey",MS/ms12.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",999,1399
MS,1044,"Fullsleeve Shirt, Baby Pink",MS/ms13.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1695,1186
MS,1045,"Fullsleeve Shirt, Blue Checks",MS/ms14.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1299,649
MS,1046,"Fullsleeve Shirt, Blue and Black",MS/ms15.jpg,"Navy blue formal shirt, has a spread collar, long sleeves, a full button placket, a patch pocket, a curved hem.
Cotton and polyester",1299,909
